Date,Ticker,Allocation,Weight
2024-07-15,AVGO,200000.0,0.2
2024-07-15,AXON,200000.0,0.2
2024-07-15,PCAR,200000.0,0.2
2024-07-15,TXN,200000.0,0.2
2024-07-15,VRTX,200000.0,0.2
2024-07-16,XEL,203011.85425255593,0.2
2024-07-16,TXN,203011.85425255593,0.2
2024-07-16,SBUX,203011.85425255593,0.2
2024-07-16,AZN,203011.85425255593,0.2
2024-07-16,CDNS,203011.85425255593,0.2
2024-07-17,CDNS,205481.58960733755,0.2
2024-07-17,FTNT,205481.58960733755,0.2
2024-07-17,CSCO,205481.58960733755,0.2
2024-07-17,TXN,205481.58960733755,0.2
2024-07-17,XEL,205481.58960733755,0.2
2024-07-18,FTNT,203487.64084075953,0.2
2024-07-18,DDOG,203487.64084075953,0.2
2024-07-18,ROST,203487.64084075953,0.2
2024-07-18,AZN,203487.64084075953,0.2
2024-07-18,XEL,203487.64084075953,0.2
2024-07-19,FTNT,200398.26961066015,0.2
2024-07-19,DDOG,200398.26961066015,0.2
2024-07-19,CDNS,200398.26961066015,0.2
2024-07-19,XEL,200398.26961066015,0.2
2024-07-19,AZN,200398.26961066015,0.2
2024-07-22,FTNT,201381.22382158675,0.2
2024-07-22,CPRT,201381.22382158675,0.2
2024-07-22,DDOG,201381.22382158675,0.2
2024-07-22,WDAY,201381.22382158675,0.2
2024-07-22,XEL,201381.22382158675,0.2
2024-07-23,CSGP,202698.79642431356,0.2
2024-07-23,DDOG,202698.79642431356,0.2
2024-07-23,FTNT,202698.79642431356,0.2
2024-07-23,CSCO,202698.79642431356,0.2
2024-07-23,TEAM,202698.79642431356,0.2
2024-07-24,CSGP,201910.92868131888,0.2
2024-07-24,FTNT,201910.92868131888,0.2
2024-07-24,DDOG,201910.92868131888,0.2
2024-07-24,XEL,201910.92868131888,0.2
2024-07-24,CSX,201910.92868131888,0.2
2024-07-25,FTNT,200090.4423475213,0.2
2024-07-25,ROST,200090.4423475213,0.2
2024-07-25,BKR,200090.4423475213,0.2
2024-07-25,DDOG,200090.4423475213,0.2
2024-07-25,CSCO,200090.4423475213,0.2
2024-07-26,FTNT,202175.4882228375,0.2
2024-07-26,ROST,202175.4882228375,0.2
2024-07-26,CPRT,202175.4882228375,0.2
2024-07-26,DDOG,202175.4882228375,0.2
2024-07-26,BKR,202175.4882228375,0.2
2024-07-29,FTNT,203991.76178630418,0.2
2024-07-29,SBUX,203991.76178630418,0.2
2024-07-29,AVGO,203991.76178630418,0.2
2024-07-29,CRWD,203991.76178630418,0.2
2024-07-29,QCOM,203991.76178630418,0.2
2024-07-30,ROST,204301.6300946456,0.2
2024-07-30,FTNT,204301.6300946456,0.2
2024-07-30,CRWD,204301.6300946456,0.2
2024-07-30,CPRT,204301.6300946456,0.2
2024-07-30,DXCM,204301.6300946456,0.2
2024-07-31,AZN,202285.18902014435,0.2
2024-07-31,FTNT,202285.18902014435,0.2
2024-07-31,ABNB,202285.18902014435,0.2
2024-07-31,WDAY,202285.18902014435,0.2
2024-07-31,ADI,202285.18902014435,0.2
2024-08-01,AZN,204494.26515736652,0.2
2024-08-01,BIIB,204494.26515736652,0.2
2024-08-01,FTNT,204494.26515736652,0.2
2024-08-01,VRTX,204494.26515736652,0.2
2024-08-01,CRWD,204494.26515736652,0.2
2024-08-02,WDAY,203705.91251887893,0.2
2024-08-02,BIIB,203705.91251887893,0.2
2024-08-02,CDNS,203705.91251887893,0.2
2024-08-02,SBUX,203705.91251887893,0.2
2024-08-02,GOOGL,203705.91251887893,0.2
2024-08-05,CDNS,198686.20205698867,0.2
2024-08-05,WDAY,198686.20205698867,0.2
2024-08-05,APP,198686.20205698867,0.2
2024-08-05,FTNT,198686.20205698867,0.2
2024-08-05,BIIB,198686.20205698867,0.2
2024-08-06,FTNT,193661.8263122002,0.2
2024-08-06,DXCM,193661.8263122002,0.2
2024-08-06,PLTR,193661.8263122002,0.2
2024-08-06,CSCO,193661.8263122002,0.2
2024-08-06,AXON,193661.8263122002,0.2
2024-08-07,PLTR,200723.80273722962,0.2
2024-08-07,CSCO,200723.80273722962,0.2
2024-08-07,FTNT,200723.80273722962,0.2
2024-08-07,TEAM,200723.80273722962,0.2
2024-08-07,AAPL,200723.80273722962,0.2
2024-08-08,TEAM,210065.13887514002,0.2
2024-08-08,CSCO,210065.13887514002,0.2
2024-08-08,TXN,210065.13887514002,0.2
2024-08-08,AMD,210065.13887514002,0.2
2024-08-08,PCAR,210065.13887514002,0.2
2024-08-09,TXN,216250.97361523402,0.2
