d_model,t_nhead,s_nhead,dropout,beta,lr,mean_ic,mean_ICIR,mean_RIC,mean_RICIR
128,4,2,0.7,5,0.001,0.09802430933766798,0.8661307744815606,0.09661305658244154,0.8387124331166279
128,4,2,0.7,5,0.0001,0.09736133038339305,0.8722112881365567,0.08743296645208898,0.762896501042118
128,4,2,0.7,5,1e-05,0.10164346281506643,0.9339207780793012,0.094055376852088,0.8832567720453992
256,4,2,0.7,5,0.001,0.00884517801632009,0.06812794128952485,0.012341818000404514,0.10302460641176661
256,4,2,0.7,5,0.0001,0.050977269424691364,0.4312463347869689,0.04815334844289703,0.39711536047688867
256,4,2,0.7,5,1e-05,0.05906883641053027,0.5545139377614335,0.06100460215772382,0.5647303488160047
512,4,2,0.7,5,0.001,-0.038178630858752866,-0.2814580119404604,-0.04319243246832022,-0.3269022395935503
512,4,2,0.7,5,0.0001,0.095668031259167,0.8872033906747826,0.08993883339565828,0.8301981804616054
512,4,2,0.7,5,1e-05,0.062206986228110495,0.5372119015252851,0.05228428052269995,0.4321946554451729
