d_model,t_nhead,s_nhead,dropout,beta,lr,mean_ic,mean_ICIR,mean_RIC,mean_RICIR
128,4,2,0.7,5,0.001,0.09446452491891509,0.816014968747206,0.08152529363551497,0.7144647093749439
128,4,2,0.7,5,0.0001,0.08839312150067888,0.8047223278963763,0.08210571409211788,0.7333435332471963
128,4,2,0.7,5,1e-05,0.08824136381651439,0.8037964301680296,0.08146135117900496,0.7246532540827605
256,4,2,0.7,5,0.001,-0.000693519704490648,-0.006242971473477117,0.009314851853488708,0.07850494462163352
256,4,2,0.7,5,0.0001,0.072602291401801,0.6395398299560534,0.06383561662668331,0.5301301899310757
256,4,2,0.7,5,1e-05,0.09030845679471511,0.79443699497527,0.07854906761357781,0.6994305992249201
512,4,2,0.7,5,0.001,-0.01351215065770177,-0.10974087482435348,-0.009176536661808352,-0.0748714317318928
512,4,2,0.7,5,0.0001,0.10536873501434112,0.9131513029306082,0.09646390180251091,0.8423740662876781
512,4,2,0.7,5,1e-05,0.08835548714494966,0.8314774913213918,0.07860454329994786,0.6942548622605682
